CustomerID,Region,CustomerType,SignupDate
193,East,Corporate,2022-02-12
194,South,Corporate,2023-10-28
195,North,Retail,2024-04-18
196,East,Retail,2023-08-29
197,West,Retail,2024-03-20
198,North,Retail,2022-05-13
199,South,Corporate,2023-01-30
200,North,Retail,2022-03-06
201,West,Retail,2022-10-17
202,East,Corporate,2023-01-11
203,East,Retail,2024-02-08
204,West,Retail,2023-04-12
205,East,Retail,2024-06-16
206,West,Corporate,2022-08-01
207,East,Corporate,2022-05-28
208,East,Retail,2023-07-27
209,East,Retail,2023-04-16
210,South,Corporate,2022-05-29
211,South,Retail,2022-03-29
212,West,Retail,2022-11-20
213,South,Corporate,2024-06-13
214,West,Corporate,2023-01-31
215,North,Corporate,2024-02-29
216,North,Retail,2023-02-08
217,South,Retail,2022-03-23
218,North,Retail,2023-10-03
219,North,Retail,2022-10-13
220,East,Corporate,2023-01-17
221,East,Retail,2024-05-14
222,West,Retail,2024-03-02
223,North,Corporate,2022-09-27
224,West,Corporate,2022-10-19
225,West,Retail,2023-03-29
226,North,Corporate,2023-12-16
227,South,Corporate,2022-01-24
228,North,Retail,2024-05-12
229,East,Retail,2022-11-07
230,North,Retail,2023-04-06
231,South,Retail,2022-07-27
232,West,Corporate,2024-03-02
233,West,Corporate,2023-12-18
234,East,Retail,2023-10-26
235,East,Retail,2023-03-14
236,East,Corporate,2023-06-22
237,West,Retail,2023-12-07
238,East,Retail,2022-12-02
239,North,Retail,2023-02-26
240,West,Retail,2024-01-20
241,South,Corporate,2022-11-17
242,West,Retail,2023-05-12
243,North,Corporate,2023-08-10
244,North,Retail,2022-06-12
245,East,Retail,2024-03-21
246,West,Corporate,2023-06-25
247,West,Retail,2022-06-14
248,West,Corporate,2024-04-28
249,South,Retail,2023-11-29
250,East,Retail,2023-07-20
251,North,Retail,2022-10-22
252,North,Retail,2022-02-11
253,East,Retail,2022-10-12
254,North,Corporate,2023-01-22
255,North,Corporate,2022-05-18
256,East,Retail,2022-07-06
257,North,Retail,2024-06-28
258,West,Corporate,2023-12-17
259,South,Corporate,2023-03-07
260,East,Retail,2023-07-08
261,South,Retail,2024-05-11
262,North,Corporate,2023-02-20
263,North,Retail,2024-03-10
264,West,Corporate,2023-03-02
265,East,Retail,2023-02-20
266,North,Corporate,2022-01-26
267,East,Corporate,2023-01-06
268,East,Retail,2023-01-20
269,East,Corporate,2022-02-25
270,East,Retail,2022-09-10
271,East,Retail,2023-09-26
272,South,Retail,2022-04-16
273,West,Retail,2022-05-10
274,East,Corporate,2024-04-28
275,South,Retail,2023-11-01
276,North,Retail,2023-01-11
277,East,Retail,2024-01-13
278,North,Retail,2022-11-04
279,East,Corporate,2022-04-01
280,South,Retail,2023-01-28
281,South,Corporate,2023-06-18
282,South,Corporate,2024-03-12
283,West,Corporate,2022-04-20
284,North,Retail,2023-07-15
285,West,Retail,2023-10-03
286,East,Retail,2023-08-08
287,North,Retail,2022-12-06
288,South,Corporate,2023-07-19
289,North,Corporate,2022-12-22
290,South,Retail,2024-06-10
291,West,Retail,2022-06-17
292,West,Retail,2023-07-11
293,South,Retail,2023-03-28
294,South,Retail,2024-06-23
295,East,Retail,2022-04-15
296,West,Retail,2022-05-30
297,West,Corporate,2022-05-26
298,East,Corporate,2023-12-17
299,West,Corporate,2024-05-23
300,South,Corporate,2022-10-26
